airline,date,departure_airport,departure_state,arrival_airport,arrival_state,departure_schedule,departure_actual,arrival_schedule,arrival_actual
Frontier Airlines Inc.: F9,04/12/2022,MCO,FL,COS,CO,1255,1239,1455,1432
Frontier Airlines Inc.: F9,08/12/2022,MCO,FL,COS,CO,1255,1347,1455,1555
Frontier Airlines Inc.: F9,27/12/2022,MCO,FL,COS,CO,1255,1300,1455,1512
Frontier Airlines Inc.: F9,20/12/2022,MCO,FL,COS,CO,1255,1259,1455,1511
Frontier Airlines Inc.: F9,15/12/2022,MCO,FL,COS,CO,1255,1321,1455,1538
Frontier Airlines Inc.: F9,22/12/2022,MCO,FL,COS,CO,1255,1315,1455,1526
Frontier Airlines Inc.: F9,01/12/2022,MCO,FL,COS,CO,1255,1307,1455,1458
Frontier Airlines Inc.: F9,25/12/2022,MCO,FL,COS,CO,1255,1521,1455,1710
Frontier Airlines Inc.: F9,06/12/2022,MCO,FL,COS,CO,1255,1249,1455,1457
Frontier Airlines Inc.: F9,13/12/2022,MCO,FL,COS,CO,1255,1251,1455,1450
Frontier Airlines Inc.: F9,18/12/2022,MCO,FL,COS,CO,1255,1247,1455,1454
Frontier Airlines Inc.: F9,29/12/2022,MCO,FL,COS,CO,1255,1313,1455,1531
Virgin America: VX,06/12/2022,SFO,CA,DFW,TX,720,718,1250,1229
Virgin America: VX,06/12/2022,SFO,CA,DFW,TX,1800,1758,2320,2310
Virgin America: VX,12/12/2022,SFO,CA,DFW,TX,720,716,1250,1237
Virgin America: VX,12/12/2022,SFO,CA,DFW,TX,1330,1331,1900,1846
Virgin America: VX,12/12/2022,SFO,CA,DFW,TX,1800,1754,2320,2311
Virgin America: VX,15/12/2022,SFO,CA,DFW,TX,720,720,1250,1240
Virgin America: VX,13/12/2022,SFO,CA,DFW,TX,720,716,1250,1238
Virgin America: VX,11/12/2022,SFO,CA,DFW,TX,1800,1758,2320,2315
Virgin America: VX,13/12/2022,SFO,CA,DFW,TX,1800,1823,2320,2335
Virgin America: VX,14/12/2022,SFO,CA,DFW,TX,1800,1759,2320,2326
Virgin America: VX,03/12/2022,SFO,CA,DFW,TX,720,718,1250,1243
Virgin America: VX,11/12/2022,SFO,CA,DFW,TX,720,715,1250,1235
Virgin America: VX,03/12/2022,SFO,CA,DFW,TX,1330,1324,1900,1841
Virgin America: VX,14/12/2022,SFO,CA,DFW,TX,1330,1328,1900,1844
Virgin America: VX,14/12/2022,SFO,CA,DFW,TX,720,717,1250,1246
Virgin America: VX,19/12/2022,SFO,CA,DFW,TX,1800,1758,2320,2334
Virgin America: VX,19/12/2022,SFO,CA,DFW,TX,1330,1329,1900,1840
Virgin America: VX,19/12/2022,SFO,CA,DFW,TX,720,718,1250,1231
Virgin America: VX,01/12/2022,SFO,CA,DFW,TX,720,720,1250,1242
Virgin America: VX,22/12/2022,SFO,CA,DFW,TX,720,727,1250,1234
Virgin America: VX,22/12/2022,SFO,CA,DFW,TX,1330,1401,1900,1917
Virgin America: VX,22/12/2022,SFO,CA,DFW,TX,1800,1805,2320,2302
Virgin America: VX,23/12/2022,SFO,CA,DFW,TX,1800,1842,2320,2343
Virgin America: VX,23/12/2022,SFO,CA,DFW,TX,1330,1630,1900,2150
Virgin America: VX,23/12/2022,SFO,CA,DFW,TX,720,721,1250,1230
Virgin America: VX,10/12/2022,SFO,CA,DFW,TX,720,714,1250,1237
Virgin America: VX,16/12/2022,SFO,CA,DFW,TX,1800,1800,2320,2311
Virgin America: VX,10/12/2022,SFO,CA,DFW,TX,1330,1332,1900,1859
Virgin America: VX,10/12/2022,SFO,CA,DFW,TX,1800,1756,2320,2307
Virgin America: VX,25/12/2022,SFO,CA,DFW,TX,720,718,1250,1245
Virgin America: VX,25/12/2022,SFO,CA,DFW,TX,1330,1335,1900,1856
Virgin America: VX,16/12/2022,SFO,CA,DFW,TX,1330,1323,1900,1837
Virgin America: VX,16/12/2022,SFO,CA,DFW,TX,720,721,1250,1232
Virgin America: VX,25/12/2022,SFO,CA,DFW,TX,1800,1949,2320,58
Virgin America: VX,02/12/2022,SFO,CA,DFW,TX,720,738,1250,1256
Virgin America: VX,02/12/2022,SFO,CA,DFW,TX,1330,1326,1900,1846
Virgin America: VX,02/12/2022,SFO,CA,DFW,TX,1800,1800,2320,2313
Virgin America: VX,08/12/2022,SFO,CA,DFW,TX,720,719,1250,1236
Virgin America: VX,30/12/2022,SFO,CA,DFW,TX,720,720,1250,1237
Virgin America: VX,30/12/2022,SFO,CA,DFW,TX,1330,1329,1900,1855
Virgin America: VX,30/12/2022,SFO,CA,DFW,TX,1800,1758,2320,2328
Virgin America: VX,27/12/2022,SFO,CA,DFW,TX,1800,1759,2320,2310
Virgin America: VX,27/12/2022,SFO,CA,DFW,TX,1330,1328,1900,1846
Virgin America: VX,07/12/2022,SFO,CA,DFW,TX,720,718,1250,1231
Virgin America: VX,27/12/2022,SFO,CA,DFW,TX,720,716,1250,1231
Virgin America: VX,20/12/2022,SFO,CA,DFW,TX,1800,1812,2320,2337
Virgin America: VX,20/12/2022,SFO,CA,DFW,TX,1330,1356,1900,1919
Virgin America: VX,28/12/2022,SFO,CA,DFW,TX,720,713,1250,1236
Virgin America: VX,20/12/2022,SFO,CA,DFW,TX,720,718,1250,1235
Virgin America: VX,28/12/2022,SFO,CA,DFW,TX,1330,1331,1900,1844
Virgin America: VX,28/12/2022,SFO,CA,DFW,TX,1800,1751,2320,2252
Virgin America: VX,07/12/2022,SFO,CA,DFW,TX,1330,1322,1900,1845
Virgin America: VX,21/12/2022,SFO,CA,DFW,TX,720,723,1250,1248
Virgin America: VX,21/12/2022,SFO,CA,DFW,TX,1330,1544,1900,2044
Virgin America: VX,26/12/2022,SFO,CA,DFW,TX,720,719,1250,1242
Virgin America: VX,26/12/2022,SFO,CA,DFW,TX,1330,1326,1900,1846
Virgin America: VX,24/12/2022,SFO,CA,DFW,TX,1330,1332,1900,1842
Virgin America: VX,24/12/2022,SFO,CA,DFW,TX,720,720,1250,1230
Virgin America: VX,07/12/2022,SFO,CA,DFW,TX,1800,1756,2320,2310
Virgin America: VX,26/12/2022,SFO,CA,DFW,TX,1800,1758,2320,2310
Virgin America: VX,29/12/2022,SFO,CA,DFW,TX,720,720,1250,1245
Virgin America: VX,29/12/2022,SFO,CA,DFW,TX,1330,1326,1900,1843
Virgin America: VX,29/12/2022,SFO,CA,DFW,TX,1800,1751,2320,2302
Virgin America: VX,09/12/2022,SFO,CA,DFW,TX,720,714,1250,1237
Virgin America: VX,09/12/2022,SFO,CA,DFW,TX,1330,1326,1900,1849
Virgin America: VX,09/12/2022,SFO,CA,DFW,TX,1800,1758,2320,2310
